"PointID"	"x"	"y"	"Conservative_1"	"Conservative_2"	"Conservative_3"	"Conservative_4"	"Pressure"	"Temperature"	"Pressure_Coefficient"	"Mach"
0	9.997500181200000e-01	-3.632896519016437e-05	1.533773418431573e+00	2.705026634449645e+02	3.636814858620497e+01	3.460851859064972e+05	1.287202102067595e+05	2.923586035473316e+02	6.035038024470304e-01	5.191509188957454e-01	
1	9.990000128750000e-01	-1.452537504052920e-04	1.502546123499770e+00	2.793956406105542e+02	3.974734321766910e+01	3.398138332413662e+05	1.253246240745997e+05	2.905620851772686e+02	5.287006114209867e-01	5.496349450952001e-01	
2	9.977599978450000e-01	-3.251111630156300e-04	1.483326390304285e+00	2.876274252454418e+02	4.125103657733882e+01	3.361233578212727e+05	1.230653100089059e+05	2.890209151859026e+02	4.789289681564335e-01	5.747794527977941e-01	
3	9.960200190539999e-01	-5.769983605901485e-04	1.467557331816715e+00	2.940067306141336e+02	4.218496009802715e+01	3.330926601155002e+05	1.212144293467194e+05	2.877329445201532e+02	4.381549237495910e-01	5.951735868692116e-01	
4	9.937800168990000e-01	-9.004365425509819e-04	1.454115991338440e+00	2.988942005453039e+02	4.294703847523684e+01	3.304909651369998e+05	1.196551318802301e+05	2.866570482381775e+02	4.038043222002672e-01	6.118230072532859e-01	
5	9.910500049590000e-01	-1.293363843462116e-03	1.442481808910055e+00	3.029798567887232e+02	4.344389937847227e+01	3.282384585963708e+05	1.183060804977077e+05	2.857110693545795e+02	3.740853445795821e-01	6.261961223913459e-01	
6	9.878399968150000e-01	-1.753609743384430e-03	1.431831109892703e+00	3.063791049763720e+02	4.377253593644435e+01	3.261619247655498e+05	1.170855116673613e+05	2.848667161585263e+02	3.471967781220545e-01	6.388301774367978e-01	
7	9.841300249100000e-01	-2.283176811071472e-03	1.422105750740797e+00	3.093970736292904e+02	4.400880253322996e+01	3.242655836478756e+05	1.159712037231544e+05	2.840852057313973e+02	3.226490898090129e-01	6.503703051412496e-01	
8	9.799500107769999e-01	-2.876826092032643e-03	1.413033401586033e+00	3.120701521335837e+02	4.416607885229896e+01	3.224918548896782e+05	1.149364342147570e+05	2.833581033083099e+02	2.998535964267423e-01	6.609818552491734e-01	
9	9.752799868580000e-01	-3.536324145770189e-03	1.404509859896514e+00	3.144932651470973e+02	4.425241326761247e+01	3.208232852053975e+05	1.139663974828662e+05	2.826717276298218e+02	2.784841361528094e-01	6.708939778321812e-01	
10	9.701499938960000e-01	-4.256268552403566e-03	1.396427851818909e+00	3.167052153676523e+02	4.427857278151787e+01	3.192386435506529e+05	1.130491174299154e+05	2.820194226879738e+02	2.582768811003185e-01	6.802240016469604e-01	
11	9.645400047300000e-01	-5.038225493362627e-03	1.388711665592336e+00	3.187431879766270e+02	4.425300325848878e+01	3.177235622181560e+05	1.121755229240742e+05	2.813949922059384e+02	2.390319984331316e-01	6.890767154091899e-01	
12	9.584699869160000e-01	-5.878077433056352e-03	1.381310270872609e+00	3.206363736868128e+02	4.417926549717394e+01	3.162685656512441e+05	1.113392929540364e+05	2.807938317191124e+02	2.206102391975158e-01	6.975298913477932e-01	
13	9.519400000570000e-01	-6.774428848839826e-03	1.374176572483936e+00	3.223996371974000e+02	4.406196562171473e+01	3.148642081674808e+05	1.105352935107367e+05	2.802133187930070e+02	2.028985035497674e-01	7.056304464430988e-01	
14	9.449599981310000e-01	-7.724467125531491e-03	1.367281765240066e+00	3.240532505841575e+02	4.390468505791416e+01	3.135053857063628e+05	1.097597119853032e+05	2.796502952537076e+02	1.858128014808970e-01	7.134306868592110e-01	
15	9.375399947170000e-01	-8.725349486403867e-03	1.360600680524618e+00	3.256073948483324e+02	4.371056464970974e+01	3.121871589433965e+05	1.090096959955963e+05	2.791031833693080e+02	1.692902963324407e-01	7.209593060377992e-01	
16	9.296900033950000e-01	-9.774221272349531e-03	1.354105690343504e+00	3.270744744419610e+02	4.348219248749010e+01	3.109042657233927e+05	1.082819551042945e+05	2.785696963721778e+02	1.532585012930135e-01	7.282535362357028e-01	
17	9.214000105860000e-01	-1.087086069705918e-02	1.347773717044769e+00	3.284636334119777e+02	4.322352396197878e+01	3.096522514756827e+05	1.075737998537265e+05	2.780480617211573e+02	1.376581688547827e-01	7.353424213202385e-01	
18	9.126999974250000e-01	-1.200973104171110e-02	1.341593735682452e+00	3.297820788954218e+02	4.293487482450523e+01	3.084290928463298e+05	1.068838405582175e+05	2.775373096476278e+02	1.224586848854785e-01	7.422432715541751e-01	
19	9.035800099370001e-01	-1.319055953446835e-02	1.335542994613363e+00	3.310321360339863e+02	4.261894464646864e+01	3.072299817274908e+05	1.062098416888487e+05	2.770366539428413e+02	1.076108017176149e-01	7.489703538703903e-01	
20	8.940600156780000e-01	-1.440916392228702e-02	1.329618910605564e+00	3.322261134378116e+02	4.227709014093667e+01	3.060551097084742e+05	1.055508122987403e+05	2.765443194289475e+02	9.309268925003247e-02	7.555506574210664e-01	
21	8.841500282290000e-01	-1.566269158090452e-02	1.323811761836871e+00	3.333649756353215e+02	4.191166904942165e+01	3.049023807978490e+05	1.049058394643925e+05	2.760601841044808e+02	7.888423620053327e-02	7.619885603868209e-01	
22	8.738499879840000e-01	-1.694956337677533e-02	1.318093222080372e+00	3.344484599589365e+02	4.152314016747901e+01	3.037656615564951e+05	1.042722872929814e+05	2.755834411230567e+02	6.492737507008420e-02	7.682972750708746e-01	
23	8.631799817090000e-01	-1.826569132102762e-02	1.312472190442781e+00	3.354915700577181e+02	4.111364836955684e+01	3.026478445497907e+05	1.036500183743444e+05	2.751120535633689e+02	5.121907877640033e-02	7.745058370028208e-01	
24	8.521599769590000e-01	-1.960709133914372e-02	1.306919518952819e+00	3.364887520811949e+02	4.068414186215371e+01	3.015422796829038e+05	1.030366587649566e+05	2.746459936247124e+02	3.770705044227898e-02	7.806163844579231e-01	
25	8.407700061800000e-01	-2.097463226217677e-02	1.301431250872574e+00	3.374482778166036e+02	4.023681241904107e+01	3.004486828150989e+05	1.024312684171694e+05	2.741837202660516e+02	2.437058125307119e-02	7.866506821902074e-01	
26	8.290500044819999e-01	-2.236196298315981e-02	1.295990532064152e+00	3.383689941915827e+02	3.976944472303202e+01	2.993633223586371e+05	1.018323608943864e+05	2.737249147265247e+02	1.117692569847784e-02	7.926142091641458e-01	
27	8.170099854470000e-01	-2.376642068849115e-02	1.290596923619240e+00	3.392576256635874e+02	3.928435797550105e+01	2.982865719685520e+05	1.012394272713115e+05	2.732683908027756e+02	-1.885127610246044e-03	7.985235308692438e-01	
